#,Company,Ticker,Weight,Day,Date,Time
1,Apple Inc,AAPL,12.39,,,
2,Microsoft Corp,MSFT,8.952,,,
3,Amazon.com Inc,AMZN,8.656,,,
4,Tesla Inc,TSLA,5.204,,,
5,Facebook Inc,FB,3.458,,,
6,Alphabet Inc,GOOG,3.286,,,
7,Alphabet Inc,GOOGL,2.982,,,
8,NVIDIA Corp,NVDA,2.707,,,
9,PayPal Holdings Inc,PYPL,2.354,,,
10,Netflix Inc,NFLX,1.991,,,
11,Intel Corp,INTC,1.852,,,
12,Adobe Inc,ADBE,1.807,,,
13,Comcast Corp,CMCSA,1.772,,,
14,PepsiCo Inc,PEP,1.527,,,
15,Cisco Systems Inc,CSCO,1.508,,,
16,Broadcom Inc,AVGO,1.5,,,
17,QUALCOMM Inc,QCOM,1.465,,,
18,T-Mobile US Inc,TMUS,1.29,,,
19,Costco Wholesale Corp,COST,1.275,,,
20,Texas Instruments Inc,TXN,1.265,,,
21,Amgen Inc,AMGN,1.177,,,
22,Charter Communications Inc,CHTR,1.031,,,
23,Starbucks Corp,SBUX,0.973,,,
24,Advanced Micro Devices Inc,AMD,0.89,,,
25,Intuit Inc,INTU,0.785,,,
26,MercadoLibre Inc,MELI,0.78,,,
27,Applied Materials Inc,AMAT,0.774,,,
28,Micron Technology Inc,MU,0.73,,,
29,Intuitive Surgical Inc,ISRG,0.697,,,
30,Booking Holdings Inc,BKNG,0.675,,,
31,Gilead Sciences Inc,GILD,0.669,,,
32,JD.com Inc ADR,JD,0.66,,,
33,Lam Research Corp,LRCX,0.647,,,
34,Mondelez International Inc,MDLZ,0.641,,,
35,Zoom Video Communications Inc,ZM,0.595,,,
36,Activision Blizzard Inc,ATVI,0.582,,,
37,Fiserv Inc,FISV,0.574,,,
38,Baidu Inc ADR,BIDU,0.557,,,
39,Automatic Data Processing Inc,ADP,0.554,,,
40,CSX Corp,CSX,0.534,,,
41,Autodesk Inc,ADSK,0.523,,,
42,Vertex Pharmaceuticals Inc,VRTX,0.493,,,
43,Illumina Inc,ILMN,0.473,,,
44,Analog Devices Inc,ADI,0.458,,,
45,Regeneron Pharmaceuticals Inc,REGN,0.45,,,
46,Moderna Inc,MRNA,0.413,,,
47,Pinduoduo Inc ADR,PDD,0.409,,,
48,NXP Semiconductors NV,NXPI,0.384,,,
49,DocuSign Inc,DOCU,0.377,,,
50,KLA Corp,KLAC,0.376,,,
51,Monster Beverage Corp,MNST,0.371,,,
52,Keurig Dr Pepper Inc,KDP,0.353,,,
53,Lululemon Athletica Inc,LULU,0.345,,,
54,ASML Holding NV,ASML,0.344,,,
55,Cognizant Technology Solutions Corp,CTSH,0.343,,,
56,Workday Inc,WDAY,0.338,,,
57,Electronic Arts Inc,EA,0.337,,,
58,Align Technology Inc,ALGN,0.336,,,
59,IDEXX Laboratories Inc,IDXX,0.335,,,
60,Exelon Corp,EXC,0.331,,,
61,Biogen Inc,BIIB,0.331,,,
62,Walgreens Boots Alliance Inc,WBA,0.328,,,
63,Synopsys Inc,SNPS,0.327,,,
64,Peloton Interactive Inc,PTON,0.325,,,
65,American Electric Power Co Inc,AEP,0.325,,,
66,Ross Stores Inc,ROST,0.322,,,
67,Kraft Heinz Co/The,KHC,0.321,,,
68,Marriott International Inc/MD,MAR,0.318,,,
69,Microchip Technology Inc,MCHP,0.312,,,
70,eBay Inc,EBAY,0.31,,,
71,Cadence Design Systems Inc,CDNS,0.306,,,
72,NetEase Inc ADR,NTES,0.305,,,
73,Match Group Inc,MTCH,0.299,,,
74,DexCom Inc,DXCM,0.283,,,
75,Marvell Technology Group Ltd,MRVL,0.281,,,
76,Xilinx Inc,XLNX,0.279,,,
,,,,,,
78,PACCAR Inc,PCAR,0.273,,,
79,Xcel Energy Inc,XEL,0.271,,,
80,Cintas Corp,CTAS,0.271,,,
81,O'Reilly Automotive Inc,ORLY,0.264,,,
82,Seagen Inc,SGEN,0.263,,,
83,ANSYS Inc,ANSS,0.257,,,
84,Okta Inc,OKTA,0.253,,,
85,Verisk Analytics Inc,VRSK,0.25,,,
86,Paychex Inc,PAYX,0.249,,,
87,Atlassian Corp PLC,TEAM,0.248,,,
88,Splunk Inc,SPLK,0.219,,,
89,Fastenal Co,FAST,0.218,,,
90,Copart Inc,CPRT,0.216,,,
91,Skyworks Solutions Inc,SWKS,0.214,,,
92,Dollar Tree Inc,DLTR,0.202,,,
93,Sirius XM Holdings Inc,SIRI,0.202,,,
94,Maxim Integrated Products Inc,MXIM,0.2,,,
95,Cerner Corp,CERN,0.195,,,
96,VeriSign Inc,VRSN,0.177,,,
97,Incyte Corp,INCY,0.171,,,
98,CDW Corp/DE,CDW,0.154,,,
99,Check Point Software Technologies Ltd,CHKP,0.145,,,
100,Trip.com Group Ltd ADR,TCOM,0.14,,,
101,Fox Corp,FOXA,0.081,,,
102,Fox Corp,FOX,0.06,,,
