#,Company,Ticker,Weight,Day,Date,Time
1,Apple Inc,AAPL,12.39,Thursday,Apr 28,4:30 PM ET
2,Microsoft Corp,MSFT,8.952,Tuesday,Apr 26,4:15 PM ET
3,Amazon.com Inc,AMZN,8.656,Thursday,Feb 3,4:00 PM ET
4,Tesla Inc,TSLA,5.204,Wednesday,Apr 27,4:10 PM ET
5,Facebook Inc,FB,3.458,Wednesday,Feb 2,4:05 PM ET
6,Alphabet Inc,GOOG,3.286,Tuesday,Feb 1,4:15 PM ET
7,Alphabet Inc,GOOGL,2.982,Tuesday,Feb 1,4:05 PM ET
8,NVIDIA Corp,NVDA,2.707,Wednesday,Feb 16,4:20 PM ET
9,PayPal Holdings Inc,PYPL,2.354,Tuesday,Feb 1,4:15 PM ET
10,Netflix Inc,NFLX,1.991,Thursday,Apr 21,4:00 PM ET
11,Intel Corp,INTC,1.852,Wednesday,Apr 27,4:00 PM ET
12,Adobe Inc,ADBE,1.807,Thursday,Mar 17,8:05 AM ET
13,Comcast Corp,CMCSA,1.772,Thursday,Apr 28,7:00 AM ET
14,PepsiCo Inc,PEP,1.527,Thursday,Feb 10,6:00 AM ET
15,Cisco Systems Inc,CSCO,1.508,Wednesday,Feb 16,4:05 PM ET
16,Broadcom Inc,AVGO,1.5,Thursday,Mar 10,4:15 PM ET
17,QUALCOMM Inc,QCOM,1.465,Wednesday,Feb 2,4:00 PM ET
18,T-Mobile US Inc,TMUS,1.29,Wednesday,Feb 2,4:00 PM ET
19,Costco Wholesale Corp,COST,1.275,Thursday,Mar 3,4:15 PM ET
20,Texas Instruments Inc,TXN,1.265,Tuesday,Apr 26,4:00 PM ET
21,Amgen Inc,AMGN,1.177,Monday,Feb 7,4:00 PM ET
22,Charter Communications Inc,CHTR,1.031,Friday,Jan 28,7:00 AM ET
23,Starbucks Corp,SBUX,0.973,Tuesday,Feb 1,4:05 PM ET
24,Advanced Micro Devices Inc,AMD,0.89,Tuesday,Feb 1,4:15 PM ET
25,Intuit Inc,INTU,0.785,Thursday,Feb 24,4:00 PM ET
26,MercadoLibre Inc,MELI,0.78,Monday,Feb 28,4:05 PM ET
27,Applied Materials Inc,AMAT,0.774,Thursday,Feb 17,4:00 PM ET
28,Micron Technology Inc,MU,0.73,Monday,Mar 21,4:00 PM ET
29,Intuitive Surgical Inc,ISRG,0.697,Thursday,Apr 21,4:05 PM ET
30,Booking Holdings Inc,BKNG,0.675,Wednesday,Feb 23,4:00 PM ET
